;data;hora;chuva;nivel;vazao diaria
138;2021-05-31;13:15:00;0.0;33.0;21.357368421052623
139;2021-05-31;13:00:00;0.0;33.0;21.357368421052623
140;2021-05-31;12:45:00;0.0;34.0;21.357368421052623
141;2021-05-31;12:30:00;0.0;34.0;21.357368421052623
142;2021-05-31;12:15:00;0.0;34.0;21.357368421052623
143;2021-05-31;12:00:00;0.0;34.0;21.357368421052623
144;2021-05-31;11:45:00;0.0;34.0;21.357368421052623
145;2021-05-31;11:30:00;0.0;34.0;21.357368421052623
146;2021-05-31;11:15:00;0.0;34.0;21.357368421052623
147;2021-05-31;11:00:00;0.0;34.0;21.357368421052623
148;2021-05-31;10:45:00;0.0;34.0;21.357368421052623
149;2021-05-31;10:30:00;0.0;34.0;21.357368421052623
150;2021-05-31;10:15:00;0.0;34.0;21.357368421052623
151;2021-05-31;10:00:00;0.0;35.0;21.357368421052623
152;2021-05-31;09:45:00;0.0;35.0;21.357368421052623
153;2021-05-31;09:30:00;0.0;35.0;21.357368421052623
154;2021-05-31;09:15:00;0.0;35.0;21.357368421052623
155;2021-05-31;09:00:00;0.0;35.0;21.357368421052623
156;2021-05-31;08:45:00;0.0;35.0;21.357368421052623
157;2021-05-31;08:30:00;0.0;35.0;21.357368421052623
158;2021-05-31;08:15:00;0.0;35.0;21.357368421052623
159;2021-05-31;08:00:00;0.0;35.0;21.357368421052623
160;2021-05-31;07:45:00;0.0;35.0;21.357368421052623
161;2021-05-31;07:30:00;0.0;35.0;21.357368421052623
162;2021-05-31;07:15:00;0.0;35.0;21.357368421052623
163;2021-05-31;07:00:00;0.0;35.0;21.357368421052623
164;2021-05-31;06:45:00;0.0;35.0;21.357368421052623
165;2021-05-31;06:30:00;0.0;35.0;21.357368421052623
166;2021-05-31;06:15:00;0.0;35.0;21.357368421052623
167;2021-05-31;06:00:00;0.0;35.0;21.357368421052623
168;2021-05-31;05:45:00;0.0;35.0;21.357368421052623
169;2021-05-31;05:30:00;0.0;35.0;21.357368421052623
170;2021-05-31;05:15:00;0.0;35.0;21.357368421052623
171;2021-05-31;05:00:00;0.0;35.0;21.357368421052623
172;2021-05-31;04:45:00;0.0;35.0;21.357368421052623
173;2021-05-31;04:30:00;0.0;35.0;21.357368421052623
174;2021-05-31;04:15:00;0.0;35.0;21.357368421052623
175;2021-05-31;04:00:00;0.0;35.0;21.357368421052623
176;2021-05-31;03:45:00;0.0;35.0;21.357368421052623
177;2021-05-31;03:30:00;0.0;35.0;21.357368421052623
178;2021-05-31;03:15:00;0.0;35.0;21.357368421052623
179;2021-05-31;03:00:00;0.0;35.0;21.357368421052623
180;2021-05-31;02:45:00;0.0;35.0;21.357368421052623
181;2021-05-31;02:30:00;0.0;35.0;21.357368421052623
182;2021-05-31;02:15:00;0.0;35.0;21.357368421052623
183;2021-05-31;02:00:00;0.0;34.0;21.357368421052623
184;2021-05-31;01:45:00;0.0;35.0;21.357368421052623
185;2021-05-31;01:30:00;0.0;34.0;21.357368421052623
186;2021-05-31;01:15:00;0.0;34.0;21.357368421052623
187;2021-05-31;01:00:00;0.0;34.0;21.357368421052623
188;2021-05-31;00:45:00;0.0;34.0;21.357368421052623
189;2021-05-31;00:30:00;0.0;34.0;21.357368421052623
190;2021-05-31;00:15:00;0.0;34.0;21.357368421052623
191;2021-05-31;00:00:00;0.0;34.0;21.31684210526315
